date,home_team,away_team,home_pitcher,away_pitcher
2025-07-21,Cleveland Guardians,Baltimore Orioles,Tanner Bibee,Tomoyuki Sugano
2025-07-21,Pittsburgh Pirates,Detroit Tigers,Paul Skenes,Jack Flaherty
2025-07-21,Miami Marlins,San Diego Padres,Eury Pérez,Randy Vásquez
2025-07-21,Washington Nationals,Cincinnati Reds,Jake Irvin,Brady Singer
2025-07-21,Philadelphia Phillies,Boston Red Sox,Zack Wheeler,Walker Buehler
2025-07-21,Toronto Blue Jays,New York Yankees,Kevin Gausman,Carlos Rodón
2025-07-21,New York Mets,Los Angeles Angels,Kodai Senga,Tyler Anderson
2025-07-21,Atlanta Braves,San Francisco Giants,Bryce Elder,Hayden Birdsong
2025-07-21,Tampa Bay Rays,Chicago White Sox,Shane Baz,Sean Burke
2025-07-22,Chicago Cubs,Kansas City Royals,Ryan Brasier,Noah Cameron
2025-07-22,Texas Rangers,Athletics,Jack Leiter,Jacob Lopez
2025-07-22,Colorado Rockies,St. Louis Cardinals,Austin Gomber,Michael McGreevy
2025-07-22,Arizona Diamondbacks,Houston Astros,Zac Gallen,Colton Gordon
2025-07-22,Seattle Mariners,Milwaukee Brewers,George Kirby,Brandon Woodruff
2025-07-22,Los Angeles Dodgers,Minnesota Twins,Shohei Ohtani,David Festa
