pitcher_name,team,date,opponent,fip,k_per_bb,gs_number
Tarik Skubal,DET,2025-07-21,TBD,1.91,10.25,20
Garrett Crochet,BOS,2025-07-21,TBD,2.41,4.583333333333333,21
Paul Skenes,PIT,2025-07-21,TBD,2.41,4.366666666666666,20
Zack Wheeler,PHI,2025-07-21,TBD,2.69,5.923076923076923,19
Logan Webb,SFG,2025-07-21,TBD,2.58,4.827586206896552,21
Kris Bubic,KCR,2025-07-21,TBD,2.76,3.2857142857142856,19
Cristopher Sanchez,PHI,2025-07-21,TBD,2.75,3.8125,19
Hunter Brown,HOU,2025-07-21,TBD,2.99,4.0,20
Framber Valdez,HOU,2025-07-21,TBD,3.02,3.048780487804878,19
Jesus Luzardo,PHI,2025-07-21,TBD,2.87,3.3947368421052633,20
Max Fried,NYY,2025-07-21,TBD,3.03,4.185185185185185,20
Joe Ryan,MIN,2025-07-21,TBD,3.13,5.739130434782608,20
Sonny Gray,STL,2025-07-21,TBD,2.88,6.473684210526316,20
Nick Pivetta,SDP,2025-07-21,TBD,3.16,4.233333333333333,20
MacKenzie Gore,WSN,2025-07-21,TBD,3.2,3.6842105263157894,20
Matthew Boyd,CHC,2025-07-21,TBD,3.18,4.434782608695652,19
Jacob deGrom,TEX,2025-07-21,TBD,3.28,4.708333333333333,19
Yoshinobu Yamamoto,LAD,2025-07-21,TBD,3.21,3.2222222222222223,19
Mitch Keller,PIT,2025-07-21,TBD,3.33,3.4074074074074074,20
Jose Soriano,LAA,2025-07-21,TBD,3.42,1.8070175438596492,21
Freddy Peralta,MIL,2025-07-21,TBD,3.66,3.05,21
Spencer Schwellenbach,ATL,2025-07-21,TBD,3.21,6.0,17
David Peterson,NYM,2025-07-21,TBD,3.34,2.5526315789473686,19
Merrill Kelly,ARI,2025-07-21,TBD,3.48,3.189189189189189,21
Bryan Woo,SEA,2025-07-21,TBD,3.53,5.2272727272727275,19
Dylan Cease,SDP,2025-07-21,TBD,3.49,3.5641025641025643,20
Carlos Rodon,NYY,2025-07-21,TBD,3.59,3.292682926829268,20
Chris Bassitt,TOR,2025-07-21,TBD,3.66,3.7586206896551726,21
Yusei Kikuchi,LAA,2025-07-21,TBD,3.9,2.3653846153846154,21
Michael Wacha,KCR,2025-07-21,TBD,3.84,2.5,20
Dean Kremer,BAL,2025-07-21,TBD,3.85,3.1333333333333333,20
Luis Castillo,SEA,2025-07-21,TBD,3.73,2.7777777777777777,20
Matthew Liberatore,STL,2025-07-21,TBD,3.51,3.6363636363636362,18
Nick Martinez,CIN,2025-07-21,TBD,4.18,3.0,22
Nick Lodolo,CIN,2025-07-21,TBD,3.99,4.521739130434782,20
Robbie Ray,SFG,2025-07-21,TBD,3.76,2.673469387755102,21
Kevin Gausman,TOR,2025-07-21,TBD,3.87,3.0588235294117645,19
Taj Bradley,TBR,2025-07-21,TBD,4.01,2.317073170731707,20
Will Warren,NYY,2025-07-21,TBD,3.66,2.4893617021276597,21
Brady Singer,CIN,2025-07-21,TBD,4.03,2.3,19
Jose Berrios,TOR,2025-07-21,TBD,4.29,2.4285714285714284,21
Luis Severino,ATH,2025-07-21,TBD,4.39,2.1,21
Ryan Pepiot,TBR,2025-07-21,TBD,4.47,3.1052631578947367,21
Clay Holmes,NYM,2025-07-21,TBD,4.2,2.0,20
Shane Baz,TBR,2025-07-21,TBD,4.41,2.675,19
Seth Lugo,KCR,2025-07-21,TBD,4.37,3.0,18
Mitchell Parker,WSN,2025-07-21,TBD,4.58,1.7073170731707317,20
Chris Paddack,MIN,2025-07-21,TBD,4.5,2.7777777777777777,20
Jeffrey Springs,ATH,2025-07-21,TBD,4.7,2.3684210526315788,21
Jack Flaherty,DET,2025-07-21,TBD,4.36,3.1,19
Zack Littell,TBR,2025-07-21,TBD,4.82,4.882352941176471,20
Tanner Bibee,CLE,2025-07-21,TBD,4.48,2.878787878787879,19
Gavin Williams,CLE,2025-07-21,TBD,4.53,1.8275862068965518,20
Grant Holmes,ATL,2025-07-21,TBD,4.35,2.326923076923077,21
Brandon Pfaadt,ARI,2025-07-21,TBD,4.41,3.9130434782608696,20
Tyler Anderson,LAA,2025-07-21,TBD,4.89,2.1025641025641026,19
JP Sears,ATH,2025-07-21,TBD,5.04,3.230769230769231,20
Andre Pallante,STL,2025-07-21,TBD,4.55,1.9705882352941178,19
Bailey Falter,PIT,2025-07-21,TBD,5.01,1.7428571428571429,20
Jake Irvin,WSN,2025-07-21,TBD,5.21,2.1842105263157894,20
Tomoyuki Sugano,BAL,2025-07-21,TBD,5.17,2.6818181818181817,18
Andrew Heaney,PIT,2025-07-21,TBD,5.34,2.1142857142857143,20
Zac Gallen,ARI,2025-07-21,TBD,4.8,2.4444444444444446,20
